,Ticker,2020-02,2020-06-08 12:22:55.456383,Volume,Ratio1 in 5 yr,Ratio2 since Feb,Ratio1/Ratio2,Sector,Industry
2355,PICO,10.286666711171467,8.871399879455566,45170.0,0.7747496161950369,0.8624173533124291,0.8983465061542744,,
2359,SIEB,8.236666679382324,7.105000019073486,31363.0,4.3219517437600565,0.8626062332786176,5.01034142465336,,
2360,FTGC,17.897500038146973,15.4399995803833,16823.0,0.7059623363319982,0.8626902945927799,0.8183265080839205,,
2365,UDR,49.58889897664389,42.79999923706055,934646.0,1.8721416140265488,0.8630963808496559,2.169099136047309,,
2370,EXP,88.68506622314453,76.55999755859375,132314.0,1.2104324080599822,0.8632794766816507,1.4021327284563143,,
2375,PACQW,1.099999984105428,0.9499999880790709,600.0,0.5815365973876624,0.8636363652783651,0.6733581641160086,,
2379,JKI,165.92459360758463,143.3699951171875,7547.0,1.5090321132486797,0.8640671765408131,1.7464291599293291,,
2381,REXN,3.0316666762034097,2.619999885559082,43861.0,0.03772764142000164,0.8642110645356756,0.04365558712242592,,
2382,CBRE,63.72166697184245,55.06999969482422,896482.0,1.8310194433382587,0.8642272293215233,2.118678261012133,,
2383,KSM,12.102691968282066,10.460000038146973,2814.0,1.174438451608734,0.8642705329987618,1.3588782756873379,,
2384,PPL,35.25448608398437,30.46999931335449,4526010.0,1.3407409701768696,0.8642871503152216,1.5512679665408382,,
2386,TCOM,33.95166651407877,29.35000038146973,2617528.0,1.4903478806379793,0.8644642044094988,1.7240134097351218,,
2396,MSI,184.2306900024414,159.3300018310547,763444.0,3.0078201450211286,0.8648396302969026,3.4778935188117277,,
2398,FTRI,12.161726156870527,10.520099639892578,3728.0,0.8271318835029028,0.8650169806651546,0.956203059582576,,
2399,SGA,30.390490214029953,26.290000915527344,1205.0,0.834017173184967,0.8650732755666577,0.9641000326112864,,
2400,CNFRL,22.61713091532389,19.57150077819824,205.0,0.8812644610453635,0.8653396777633661,1.0184029274182342,,
2402,BCDA,4.424999872843425,3.829999923706055,24979.0,0.3503795976991851,0.8655367307942918,0.4048119337207634,,
2404,RZB,29.10665098826091,25.20000076293945,12465.0,1.4078894383080338,0.8657815278405937,1.626148621834829,,
2408,FWP,6.9846666653951015,6.050000190734862,34443.0,0.2670881594137937,0.8661830951373874,0.3083506950357074,,
2409,CB,162.79081217447916,141.00999450683594,1686203.0,1.6192619962667163,0.8662036427197222,1.8693779573386782,,
2411,VTWV,109.84136454264325,95.16000366210938,40165.0,1.3708244155356206,0.8663403268735416,1.5823162942012254,,
2416,KRG,17.10834789276123,14.829999923706055,434553.0,0.8331965294805398,0.8668282885444961,0.9612013595905736,,
2421,STM,31.16209634145101,27.020000457763672,1169102.0,4.610809288208887,0.8670790360731403,5.31763437516664,,
2429,SYNH,66.86833318074544,58.0099983215332,548997.0,2.5654917626958254,0.8675257115312249,2.9572515587666075,,
2434,NTB,32.78620465596517,28.45499992370605,142258.0,1.9613418335833002,0.8678955134420815,2.259882443457508,,
2441,PAYS,9.614999930063883,8.350000381469728,287371.0,35.78521950706285,0.8684347833806223,41.20657093876295,,
2442,MDIV,17.99925931294759,15.633899688720705,65040.0,1.1705456472871218,0.8685857243844812,1.3476455051303349,,
2445,ECOW,24.370667139689132,21.170000076293945,100.0,1.5786595318303769,0.8686672365163651,1.8173351836789757,,
2446,DHIL,139.02666727701822,120.7699966430664,10187.0,1.2398502377033211,0.8686822392313095,1.427277066007998,,
2449,EQH,26.522781689961747,23.04999923706055,2268012.0,2.1849686449688024,0.8690641693056059,2.5141626155346177,,
2451,HTA,32.519227981567376,28.26499938964844,515876.0,1.4947978358956833,0.8691780569228047,1.719783218167969,,
2452,CMU,4.813965797424316,4.184999942779541,14484.0,1.4650008435809352,0.8693455913248699,1.6851765951309368,,
2454,EMD,14.465445359547935,12.577799797058105,107012.0,1.4324158069041208,0.8695065713103755,1.6473892828037198,,
2455,FUND,7.279820442199707,6.329999923706055,40228.0,1.4629563102658034,0.869526930501235,1.6824738360000984,,
2463,RNEM,50.73154830932617,44.12900161743164,800.0,1.1860968771400142,0.8698532390212746,1.363559763799425,,
2464,RTW,0.41333332657814026,0.3596000075340271,12945767.0,0.16793286514583378,0.8700000324460774,0.19302627457803254,,
2465,APVO,6.8273333708445225,5.940000057220459,37886.0,0.02173869479621373,0.8700322270165777,0.02498607996482816,,
2466,WTRG,53.18168640136719,46.27000045776367,560567.0,2.225621234227316,0.8700363525248077,2.558078438640707,,
2469,HFC,42.43480555216471,36.92499923706055,1002130.0,1.3561203574332923,0.8701583230225713,1.5584754194187207,,
2477,DVY,104.76485443115234,91.2300033569336,516377.0,1.568399261233857,0.8708073318317513,1.8010864216481903,,
2480,SMCP,24.789999643961593,21.59000015258789,1000.0,0.9863084471370314,0.8709157104746807,1.1324958721888911,,
2483,XPO,96.50166702270508,84.11000061035156,633435.0,2.364373876593269,0.8715911673376794,2.7127097717331994,,
2500,QVCC,25.246797243754074,22.049999237060547,38407.0,1.8825629361900056,0.873378077392197,2.155495981546863,,
2501,PEY,18.737055778503414,16.365699768066403,301950.0,1.6982936781494418,0.8734403078867058,1.944372915715871,,
2504,ARWR,40.82500012715658,35.665000915527344,524696.0,5.278747647345034,0.8736068782472133,6.042474914959693,,
2508,FBC,35.55458641052246,31.065000534057614,179604.0,2.248549372051485,0.8737269553742821,2.573514938758258,,
2509,JMPNL,24.738356590271,21.614999771118164,3855.0,1.1707366604296396,0.873744369083063,1.3399075311446649,,
2510,ERC,12.875350316365562,11.249899864196776,59432.0,1.5902398367241035,0.8737548561997021,1.820006865129966,,
2511,FEUZ,41.02733357747396,35.849998474121094,17705.0,1.45853267393596,0.873807663040635,1.6691690123895528,,
2518,RFIL,6.790617148081463,5.939899921417236,34002.0,1.9549234226372023,0.874721662536287,2.234909121798621,,
2522,GJS,21.431939760843914,18.75,300.0,1.3437345667335094,0.8748624813819321,1.5359380420691344,,
2525,COWN,17.178876241048176,15.029999732971193,165249.0,6.059781649976146,0.8749116951583633,6.926163730019971,,
2528,NTWK,4.033333381017049,3.5299999713897705,35817.0,0.9888357886496434,0.8752065941297524,1.1298312824446624,,
2529,NSS,26.399999936421708,23.11000061035156,22789.0,1.4413489356320144,0.8753788131063125,1.6465430897480104,,
2533,GTIM,1.6333333253860474,1.4299999475479126,77892.0,0.2380001808311046,0.8755101762280667,0.271841707033576,,
2537,EGP,140.47926076253256,123.0,88222.0,2.552890332872296,0.8755740835504562,2.915675989997689,,
2538,FCAU,12.18000030517578,10.664999961853027,3542768.0,1.977471110126665,0.8756157384758876,2.258377760053385,,
2539,DWMC,24.18833351135254,21.18000030517578,1062.0,0.9494713795198584,0.8756287528132176,1.0843309752785064,,
2544,RSSS,3.4249999920527134,3.0,14170.0,3.861060029996121,0.8759124107915698,4.408043524017256,,
2546,NSP,71.55791091918945,62.72000122070313,215508.0,4.676769930826653,0.8764929050476753,5.335776141362227,,
2548,INFR,33.26552391052246,29.15999984741211,6.0,1.8366543442517531,0.8765832134749063,2.095242432228404,,
2549,SBFG,19.723572731018066,17.290000915527347,18288.0,2.297677689434624,0.8766160751564248,2.6210763805861332,,
2564,ZIONL,29.872618993123368,26.21999931335449,53845.0,2.489417147583515,0.8777268347107529,2.8362094550793597,,
2565,DWAT,11.643333117167153,10.220000267028807,3000.0,1.2283645528920908,0.8777555502522078,1.3994380924610978,,
2570,PSCE,5.661377429962157,4.96999979019165,342199.0,0.20699381527679467,0.8778781933683709,0.2357887652757049,,
2574,REKR,4.3049999475479135,3.7799999713897705,55629.0,3.9262726527194065,0.8780487845401306,4.47158827829339,,
2577,ENT,10.291666666666666,9.039999961853027,818570.0,0.032049349479244524,0.8783805630950311,0.036486860964132166,,
